word_id,root_id,sequence,sequence_2
"1449","690","2","1"
"1449","1024","1","2"
"1450","725","2","2"
"1450","24","1","1"
"1190","759","2","1"
"1190","1024","1","2"
"830","869","3","1"
"830","285","2","3"
"830","1081","1","2"
"1453","822","2","1"
"1453","297","1","2"
"1545","881","3","1"
"1454","297","1","2"
"1454","3554","2","1"
"1455","297","2","1"
"1455","91","1","2"
"1456","908","2","1"
"1456","300","1","2"
"1458","300","1","2"
"823","647","1","1"
"910","1104","1","2"
"910","309","2","1"
"1459","309","2","1"
"1459","21","1","2"
"1460","822","3","1"
"1460","309","2","2"
"1460","1085","1","3"
"1462","2060","2","1"
"1462","43","1","2"
"1463","43","1","2"
"1463","759","2","1"
"1464","994","1","2"
"1464","911","2","1"
"1466","340","2","1"
"1466","111","1","2"
"1636","338","2","1"
"1636","118","1","2"
"1468","344","2","1"
"1468","1024","1","2"
"700","1128","2","1"
"700","1127","1","2"
"701","1229","2","1"
"701","2036","1","2"
"702","880","2","1"
"702","1130","1","2"
"1470","344","2","2"
"1470","987","3","1"
"1880","699","2","1"
"1880","110","1","2"
"1882","110","1","2"
"1882","309","2","1"
"1883","110","1","1"
"1883","767","2","2"
"1884","110","1","2"
"1884","505","2","1"
"1885","110","1","2"
"1885","1820","2","1"
"1528","1820","2","1"
"1528","118","1","2"
"1886","338","2","1"
"1886","4085","3",NULL
"1473","118","1","2"
"1473","352","2","1"
"1565","636","2","1"
"1565","118","1","2"
"1619","782","2","1"
"8927","133","1","2"
"1617","728","1","1"
"1905","43","1","1"
"1609","1240","2","1"
"1887","878","3","1"
"1887","3014","1","3"
"1256","469","2","2"
"1888","784","2","1"
"1888","113","1","2"
"1889","782","2","1"
"1889","113","1","2"
"8698","987","2","1"
"1621","113","1","1"
"1890","1137","2","1"
"957","91","1","3"
"957","842","3","1"
"957","1137","2","2"
"1891","338","2","1"
"1891","91","1","2"
"594","1616","2","2"
"594","91","1","3"
"594","987","3","1"
"1892","987","3","1"
"1892","585","2","2"
"1892","91","1","3"
"1893","1064","3","1"
"1893","1141","2","2"
"724","1064","3","1"
"1894","1072","2","1"
"1895","248","1","2"
"1895","822","2","1"
"1966","1145","3","3"
"1966","20","1","1"
"1966","722","2","2"
"1897","840","3","1"
"1897","338","2","2"
"1897","20","1","3"
"1898","987","3","1"
"1898","1742","2","2"
"1898","100","1","3"
"1900","987","3","1"
"1900","1147","2","2"
"1900","100","1","3"
"1901","100","1","2"
"1901","2250","2","1"
"1902","1463","2","1"
"1902","100","1","2"
"1904","218","2","1"
"1904","43","1","2"
"1926","782","2","1"
"1926","59","1","2"
"1906","43","1","2"
"1906","1152","2","1"
"1907","43","1","3"
"1907","1459","2","2"
"705","881","3","1"
"705","1154","1","3"
"705","2127","2","2"
"1909","4198","2","1"
"1909","271","1","2"
"1253","271","1","3"
"1253","297","2","2"
"1253","987","3","1"
"1910","1158","2","1"
"1910","271","1","2"
"1911","450","2","1"
"1911","1117","1","2"
"1912","1117","1","2"
"1912","1441","2","1"
"1913","1112","1","2"
"1913","1160","2","1"
"1914","584","2","2"
"1914","959","3","1"
"1915","2198","2","1"
"1915","1112","1","2"
"1916","21","1","2"
"1916","1163","2","1"
"1917","735","2","1"
"1917","21","1","2"
"1370","822","3","1"
"1370","569","2","2"
"1370","1031","1","3"
"772","529","1","2"
"772","959","3","1"
"799","959","3","1"
"773","766","1","1"
"773","1165","2","2"
"774","766","1","2"
"774","856","2","1"
"1417","200","1","2"
"1417","701","2","1"
"1919","306","1","1"
"1919","1167","2","2"
"1920","306","1","2"
"1920","809","2","1"
"1640","1442","2","2"
"1640","762","1","1"
"1579","1887","2","2"
"1579","4085","3",NULL
"781","662","1","2"
"781","1170","2","1"
"791","1171","2","1"
"791","1053","1","2"
"1921","809","2","1"
"1921","1053","1","2"
"769","222","1","2"
"769","1172","2","1"
"1519","510","2","1"
"1519","222","1","2"
"768","594","2","2"
"768","4055","3",NULL
"1923","1459","2","1"
"1923","59","1","2"
"1924","59","1","2"
"1924","2765","2","1"
"1925","1820","2","2"
"1925","59","1","3"
"1925","987","3","1"
"1591","687","2","1"
"1591","59","1","2"
"1595","696","2","1"
"1595","4055","3",NULL
"1554","609","2","1"
"1958","609","1","2"
"950","1887","2","1"
"950","535","1","2"
"751","535","1","2"
"751","941","2","1"
"1558","89","1","1"
"1558","370","2","2"
"1927","908","2","1"
"1927","2318","1","2"
"1928","1647","2","1"
"1929","4085","3",NULL
"1929","311","2","2"
"1930","3526","3","1"
"1930","1038","2","2"
"1930","40","1","3"
"1564","636","2","1"
"1564","1177","1","2"
"1931","505","2","1"
"1931","1177","1","2"
"1932","1152","2","1"
"1385","133","2","1"
"1933","1621","2","2"
"1385","100","1","2"
"1483","815","2","1"
"1934","121","1","1"
"1934","1325","2","2"
"1935","55","1","1"
"1935","809","3","2"
"1935","1181","2","3"
"1004","1103","3","2"
"1004","1182","2","3"
"1004","55","1","1"
"1936","943","3","2"
"1936","2573","2","3"
"1936","1183","1","1"
"1937","803","3","2"
"1937","1185","2","3"
"1937","1183","1","1"
"1967","868","4","2"
"1967","4198","3","3"
"1967","100","2","4"
"1967","1183","1","1"
"1938","636","2","1"
"1938","1186","1","2"
"1939","759","2","1"
"1939","1188","1","2"
"1610","21","1","2"
"1610","725","2","1"
"1598","1024","1","2"
"1598","4085","3",NULL
"1940","699","1","1"
"1409","374","2","2"
"1409","188","1","1"
"1479","366","1","2"
"1479","374","2","1"
"1483","374","1","2"
"1941","31","1","2"
"1941","374","2","1"
"1942","4099","2","1"
"1942","362","1","2"
"1478","823","3",NULL
"1478","362","1","2"
"1943","1805","1","2"
"1943","3551","2","1"
"1492","871","2","1"
"1492","478","1","2"
"883","941","2","1"
"883","478","1","2"
"729","4055","3",NULL
"729","696","2","1"
"3129","809","2","1"
"1944","1490","2","1"
"1945","4055","2",NULL
"1500","445","1","1"
"1501","1193","2","1"
"1501","445","1","2"
"1946","569","1","2"
"1946","822","2","1"
"1947","569","1","2"
"1947","823","2","1"
"1582","987","2","1"
"1582","1266","1","2"
"1583","100","1","2"
"1583","1266","2","1"
"1948","1266","2","1"
"1948","100","1","2"
"1480","366","1","2"
"1480","467","2","1"
"1481","366","1","2"
"1481","2220","2","1"
"1534","1195","1","2"
"1534","886","2","1"
"1949","1195","1","2"
"1949","809","2","1"
"1482","201","1","2"
"1482","374","2","1"
"1950","784","1","2"
"1950","809","2","1"
"1951","4085","3",NULL
"1951","784","2","1"
"1952","888","2","1"
"1953","484","1","2"
"1953","3526","2","1"
"1511","485","2","1"
"1511","1024","1","2"
"1510","485","2","1"
"1510","1384","1","2"
"1549","809","2","1"
"1549","594","1","2"
"1954","4085","3",NULL
"1954","594","2","2"
"1551","119","1","1"
"1551","594","2","2"
"1550","1242","2","1"
"9903","594","1","2"
"1609","717","1","2"
"1955","340","2","1"
"1955","717","1","2"
"1657","782","1","1"
"1587","4085","3",NULL
"1587","782","2","1"
"1956","782","1","2"
"1956","987","2","1"
"707","271","1","2"
"707","297","2","1"
"1569","91","1","3"
"1569","297","2","2"
"1569","987","3","1"
"1957","297","2","1"
"7973","43","1","2"
"1958","853","2","1"
"1553","959","3","1"
"1553","4265","1","3"
"1959","89","1","2"
"1959","609","2","3"
"1960","4086","3",NULL
"1960","774","2","1"
"1961","1201","3","2"
"1961","1200","1","4"
"1961","897","4","1"
"823","799","2","2"
"1962","774","2","1"
"1962","21","1","2"
"1333","774","1","2"
"1333","872","2","1"
"1517","503","1","2"
"1517","959","2","1"
"1963","503","1","2"
"1963","864","2","1"
"1964","820","2","1"
"1964","1204","1","2"
"1965","985","2","2"
"1965","1204","1","1"
"704","510","2","2"
"704","959","3","1"
"706","1205","2","3"
"706","8","1","2"
"706","869","3","1"
"709","1207","1","1"
"710","878","3","1"
"710","1784","2","2"
"710","1206","1","3"
"711","4085","2",NULL
"715","2765","2","1"
"715","1210","1","2"
"716","2093","1","2"
"716","869","3","1"
"1471","1145","3","3"
"717","842","3","1"
"717","1213","2","2"
"717","1031","1","3"
"1970","478","1","2"
"719","1112","1","2"
"719","637","2","1"
"720","1038","2","2"
"720","21","1","3"
"720","812","3","1"
"1212","1215","2","2"
"1212","2584","3","1"
"1969","715","2","3"
"1969","869","3","1"
"1969","1495","1","2"
"723","1495","1","1"
"723","4034","3",NULL
"1970","1056","2","1"
"730","201","2","3"
"730","513","1","2"
"730","809","3","1"
"731","517","2","3"
"731","886","3","1"
"731","1217","1","2"
"1971","884","2","1"
"1971","1218","1","2"
"734","823","3","1"
"734","1218","2","2"
"734","1219","1","3"
"926","959","3",NULL
"736","1064","2","1"
"736","1218","1","2"
"737","1222","2","1"
"737","1221","1","2"
"738","2111","2","1"
"738","1223","1","2"
"402","1224","2","1"
"402","4055","3",NULL
"739","52","1","2"
"739","987","3","1"
"739","1815","2","3"
"740","1221","2","1"
"740","113","1","2"
"741","886","3","1"
"741","338","2","2"
"1256","842","3","1"
"742","314","1","2"
"799","1264","2","2"
"743","869","2","1"
"743","314","1","2"
"744","1160","3","3"
"744","2905","2","2"
"7973","637","2","1"
"1961","774","2","3"
"745","941","2","1"
"745","1160","1","2"
"746","4321","2","1"
"746","1229","1","2"
"518","80","1","1"
"518","1229","2","2"
"1972","951","1","2"
"1972","822","2","1"
"748","91","1","3"
"748","842","3","1"
"748","951","2","2"
"752","869","3","1"
"752","236","2","3"
"752","89","1","2"
"753","391","1","1"
"753","719","2","2"
"754","842","4","1"
"754","1230","3","2"
"754","118","2","4"
"754","107","1","3"
"755","1233","2","2"
"755","497","1","1"
"756","3012","2","2"
"757","1108","2","1"
"757","497","1","2"
"758","809","3","1"
"758","1236","1","2"
"758","4038","2","3"
"443","1008","2","2"
"443","4086","3",NULL
"759","1103","3","1"
"759","497","2","3"
"759","56","1","2"
"1973","1240","2","1"
"1973","497","1","2"
"694","1125","1","2"
"761","1508","2","3"
"761","1125","1","2"
"338","803","2","1"
"762","822","3","1"
"762","786","2","3"
"1974","1103","3","1"
"1974","1206","1","3"
"1974","722","2","2"
"1968","829","2","1"
"1968","517","1","2"
"1975","1064","3","1"
"1975","792","2","2"
"1975","80","1","3"
"450","1064","2","1"
"450","1245","1","2"
"764","685","1","2"
"764","3607","2","1"
"765","374","2","2"
"765","1246","1","1"
"767","72","1","2"
"767","321","2","3"
"767","1242","3","1"
"770","222","1","2"
"770","321","2","3"
"770","864","3","1"
"771","529","1","1"
"771","236","2","2"
"775","1887","2","2"
"775","306","1","1"
"776","200","1","2"
"776","321","2","3"
"776","864","3","1"
"777","3165","2","3"
"777","809","3","1"
"777","200","1","2"
"778","762","1","1"
"778","467","2","2"
"779","119","1","2"
"779","1248","2","3"
"779","1249","3","1"
"780","4055","3",NULL
"780","662","1","1"
"1976","3449","2","3"
"1976","666","1","2"
"1976","864","3","1"
"783","599","1","2"
"783","1248","2","3"
"783","1249","3","1"
"784","4271","3",NULL
"784","398","1","1"
"785","1253","2","1"
"785","1252","1","2"
"786","864","3","1"
"786","321","2","3"
"786","108","1","2"
"787","370","2","2"
"787","563","1","1"
"789","1254","1","1"
"790","1254","1","1"
"792","1053","1","2"
"792","1248","2","3"
"792","1249","3","1"
"793","1053","1","2"
"3755","3171","2","1"
"794","100","2","4"
"794","868","4","2"
"794","1258","3","3"
"795","1049","2","1"
"795","1258","1","2"
"796","100","2","3"
"796","1791","4","1"
"796","1258","3","2"
"797","842","3","2"
"797","1258","2","3"
"797","1024","1","1"
"3615","869","2","1"
"798","1516","2","1"
"799","4338","1","3"
"1977","809","3","1"
"1977","1264","2","2"
"1977","4338","1","3"
"801","1266","1","1"
"802","1266","2","1"
"802","1344","1","2"
"803","100","2","2"
"803","1266","3","1"
"803","4055","4",NULL
"804","987","3","1"
"804","1266","2","2"
"804","1268","1","3"
"806","1269","1","3"
"806","1270","2","2"
"806","1650","3","1"
"807","824","3","1"
"807","1270","2","2"
"807","91","1","3"
"808","92","1","2"
"808","822","3","1"
"808","1271","2","3"
"270","35","1","2"
"270","876","3","1"
"34","1064","3","1"
"761","1242","3","1"
"762","1125","1","2"
"498","1506","2","2"
"498","93","1","3"
"498","4169","3","1"
"809","886","3","1"
"809","133","2","2"
"809","104","1","3"
"810","104","1","3"
"810","717","2","2"
"810","886","3","1"
"811","1477","2","1"
"811","1872","1","2"
"812","842","3","1"
"812","788","2","2"
"812","1872","1","3"
"813","979","2","2"
"813","3085","1","3"
"813","814","3","1"
"816","159","1","2"
"816","1056","3","1"
"816","194","2","3"
"817","159","1","3"
"817","842","3","1"
"817","1137","2","2"
"821","639","1","2"
"821","1275","2","1"
"822","1064","3","1"
"822","1496","2","3"
"822","639","1","2"
"825","1278","3","2"
"825","273","2","3"
"825","58","1","1"
"826","823","3","1"
"826","273","2","2"
"826","3","1","3"
"828","344","2","1"
"828","1279","1","2"
"7486","637","1","2"
"1978","344","2","1"
"831","292","2","2"
"831","1081","1","1"
"832","467","2","1"
"832","1081","1","2"
"833","59","1","2"
"833","1137","2","1"
"834","1280","2","1"
"834","1756","1","2"
"835","1224","2","1"
"836","297","2","1"
"836","1283","1","2"
"837","143","2","2"
"837","1283","1","1"
"838","1283","1","2"
"838","1284","2","1"
"839","822","2","1"
"839","1836","1","2"
"840","864","2","1"
"840","1038","1","2"
"356","113","1","1"
"356","340","2","2"
"355","535","1","2"
"355","878","3","1"
"355","3466","2","3"
"357","884","3","1"
"357","1287","2","3"
"357","58","1","2"
"358","1288","1","2"
"358","3644","2","1"
"359","569","1","3"
"359","878","3","1"
"359","340","2","2"
"360","842","3","1"
"360","341","2","3"
"360","34","1","2"
"361","341","2","3"
"361","959","3","1"
"361","1290","1","2"
"362","341","1","2"
"362","884","2","1"
"363","809","2","1"
"363","1293","1","2"
"364","1294","2","1"
"364","342","1","2"
"365","823","3","1"
"365","1344","1","2"
"365","2534","2","3"
"366","2916","2","2"
"366","93","1","3"
"366","1297","3","1"
"367","840","3","1"
"367","1070","1","3"
"367","1298","2","2"
"368","803","2","1"
"368","1299","1","2"
"369","836","3","3"
"369","1301","2","1"
"369","1300","1","2"
"1484","374","2","1"
"1484","402","1","2"
"370","1303","1","2"
"370","1304","2","1"
"371","809","2","1"
"371","2766","1","2"
"1396","155","1","2"
"1396","822","2","1"
"1513","874","2","1"
"1513","490","1","2"
"1412","987","3","1"
"1412","194","2","2"
"1412","100","1","3"
"372","93","1","2"
"372","884","3","1"
"372","1300","2","3"
"373","820","2","1"
"373","1307","1","2"
"374","899","3","1"
"374","886","2","2"
"374","1309","1","3"
"375","200","1","3"
"375","823","3","1"
"375","1310","2","2"
"376","358","2","2"
"376","987","3","1"
"7486","987","2","1"
"1407","185","1","1"
"1245","185","1","2"
"1245","2101","2","1"
"1672","185","1","1"
"1410","869","3","1"
"1410","493","2","2"
"1673","194","2","1"
"1673","1325","1","2"
"1413","4276","1","3"
"1413","297","2","2"
